user_id,musicId,music_path,music_create_date,music_attitude,checkin_emotion_value,positive,negative,play_count,title,type,writer,composer,producer,genre,artist,album,releaseDate,src,duration,language,likes,downloads,lyrics,label,playCount,musicMood,storageTime,id,dramatic,aggressive,romantic,happy,sad
10,112,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\112.wav,2015-01-29,normal,24.9,0.979884,0.0201162,0,John Powell - Assassin's Tango.mp3,normal,,,,CLASSICAL,,,,test/John Powell - Assassin's Tango.mp3,0,,0,0,,,0,,2023-12-19T21:38:31,6592abe73713042ee2067c0c,0.03114681,0.007570332,0.2932964,0.6392252,0.028761374
10,20,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\20.wav,2016-02-29,dislike,24.9,0.979884,0.0201162,0,"DECO＊27,初音ミク - 愛言葉IV.mp3",normal,,,,POP,,,,"test/DECO＊27,初音ミク - 愛言葉IV.mp3",0,,0,0,,,0,,2023-12-19T20:49:08,6592abe63713042ee2067bfa,9.0022855e-05,0.9998759,1.3020067e-05,2.1061725e-05,1.0660728e-08
11,78,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\78.wav,2021-04-17,normal,59.8,0.987982,0.0120179,0,刘奕忻 - 爱人错过.mp3,normal,,,,POP,,,,test/刘奕忻 - 爱人错过.mp3,0,,0,0,,,0,,2023-12-19T21:20:50,6592abeb3713042ee2067c40,0.0049733687,2.1083986e-06,0.99327844,5.060951e-06,0.0017409427
15,37,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\37.wav,2019-05-31,normal,86.8,0.988865,0.0111349,0,Lana Del Rey - Money Power Glory.mp3,normal,,,,WORLD_MUSIC,,,,test/Lana Del Rey - Money Power Glory.mp3,0,,0,0,,,0,,2023-12-19T21:02:19,6592abe83713042ee2067c10,0.56033397,0.009096895,0.016899671,0.04292666,0.3707428
22,93,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\93.wav,2019-03-17,normal,89.5,0.985174,0.0148264,0,徐良 - 美瞳.mp3,normal,,,,POP,,,,test/徐良 - 美瞳.mp3,0,,0,0,,,0,,2023-12-19T21:30:23,6592abed3713042ee2067c5d,0.94988143,0.0050759697,0.036202904,0.008137096,0.0007026683
23,100,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\100.wav,2017-04-11,dislike,41.5,0.986245,0.0137552,0,"御鹿神谷,江苹果 - 山眠.mp3",normal,,,,POP,,,,"test/御鹿神谷,江苹果 - 山眠.mp3",0,,0,0,,,0,,2023-12-19T21:32:46,6592abed3713042ee2067c63,0.037328176,0.011085476,0.6314769,0.033099487,0.2870099
28,92,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\92.wav,2021-05-01,normal,59.8,0.975346,0.0246543,0,徐良 - 今天见了前女友.mp3,normal,,,,POP,,,,test/徐良 - 今天见了前女友.mp3,0,,0,0,,,0,,2023-12-19T21:30:09,6592abec3713042ee2067c5b,5.890912e-08,2.1772731e-10,0.9999716,2.8363345e-05,9.483168e-10
28,63,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\63.wav,2021-12-31,normal,59.8,0.975346,0.0246543,0,ナナヲアカリ - 忘れないでベイベー.mp3,normal,,,,POP,,,,test/ナナヲアカリ - 忘れないでベイベー.mp3,0,,0,0,,,0,,2023-12-19T21:15:58,6592abea3713042ee2067c36,0.17631218,0.76348555,0.02563726,0.029090924,0.005474195
29,44,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\44.wav,2020-12-22,normal,41.5,0.988951,0.0110493,0,moumoon - トモダチ／コイビト.mp3,normal,,,,POP,,,,test/moumoon - トモダチ／コイビト.mp3,0,,0,0,,,0,,2023-12-19T21:06:06,6592abe93713042ee2067c29,6.0122497e-06,1.5839073e-06,2.157253e-06,2.8515635e-06,0.99998736
29,140,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\140.wav,2019-12-04,normal,41.5,0.988951,0.0110493,0,"雪乃イト,初音ミク - 心拍ペアリング.mp3",normal,,,,WORLD_MUSIC,,,,"test/雪乃イト,初音ミク - 心拍ペアリング.mp3",0,,0,0,,,0,,2023-12-19T21:47:15,6592abee3713042ee2067c6e,6.5999004e-05,0.9996909,1.08037775e-05,0.00023226623,1.2452088e-07
78,140,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\140.wav,2019-07-31,dislike,64.9,0.978902,0.0210978,0,"雪乃イト,初音ミク - 心拍ペアリング.mp3",normal,,,,WORLD_MUSIC,,,,"test/雪乃イト,初音ミク - 心拍ペアリング.mp3",0,,0,0,,,0,,2023-12-19T21:47:15,6592abee3713042ee2067c6e,6.5999004e-05,0.9996909,1.08037775e-05,0.00023226623,1.2452088e-07
30,81,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\81.wav,2021-04-23,normal,3.3,0.971612,0.0283881,0,"塞壬唱片-MSR,Forts - Radiant.mp3",normal,,,,ELECTRONIC,,,,"test/塞壬唱片-MSR,Forts - Radiant.mp3",0,,0,0,,,0,,2023-12-19T21:22:12,6592abec3713042ee2067c4d,0.00048819266,0.9994624,6.8396666e-06,4.2497893e-05,2.2458784e-09
52,81,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\81.wav,2018-11-06,dislike,25.4,0.984366,0.0156341,0,"塞壬唱片-MSR,Forts - Radiant.mp3",normal,,,,ELECTRONIC,,,,"test/塞壬唱片-MSR,Forts - Radiant.mp3",0,,0,0,,,0,,2023-12-19T21:22:12,6592abec3713042ee2067c4d,0.00048819266,0.9994624,6.8396666e-06,4.2497893e-05,2.2458784e-09
31,60,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\60.wav,2020-12-28,dislike,80.3,0.987911,0.0120892,0,ツユ - くらべられっ子.mp3,normal,,,,POP,,,,test/ツユ - くらべられっ子.mp3,0,,0,0,,,0,,2023-12-19T21:14:31,6592abea3713042ee2067c33,3.4553712e-05,0.9995646,0.00039975755,2.197287e-07,8.328869e-07
45,18,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\18.wav,2021-03-17,normal,72.1,0.985023,0.0149765,0,CMJ - 漫天星光（纯音乐版）.mp3,normal,,,,INSTRUMENTAL,,,,test/CMJ - 漫天星光（纯音乐版）.mp3,0,,0,0,,,0,,2023-12-19T20:47:48,6592abe63713042ee2067bf5,0.8310226,0.00026619565,0.12717523,0.00053581595,0.041000232
46,138,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\138.wav,2018-03-28,normal,27.2,0.985213,0.0147869,0,"旺仔小乔,Ellivensen - 病变（女生版）.mp3",normal,,,,HIP_POP,,,,"test/旺仔小乔,Ellivensen - 病变（女生版）.mp3",0,,0,0,,,0,,2023-12-19T21:46:33,6592abed3713042ee2067c64,0.00015274662,0.19695015,0.7958335,0.0026431151,0.0044205342
48,58,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\58.wav,2023-01-03,normal,43.6,0.987088,0.0129124,0,Yuta Imai - UNKNOWN LEVELS Extended Mix.mp3,normal,,,,ELECTRONIC,,,,test/Yuta Imai - UNKNOWN LEVELS Extended Mix.mp3,0,,0,0,,,0,,2023-12-19T21:13:46,6592abe93713042ee2067c24,0.0012696743,0.9987072,1.2325048e-08,2.2922797e-05,6.886052e-08
48,72,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\72.wav,2023-03-19,dislike,43.6,0.987088,0.0129124,0,冯曦妤 - 阳光.雨.mp3,normal,,,,POP,,,,test/冯曦妤 - 阳光.雨.mp3,0,,0,0,,,0,,2023-12-19T21:19:29,6592abeb3713042ee2067c3f,0.087480806,0.031580664,0.6233542,0.08256343,0.17502087
49,52,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\52.wav,2019-06-16,normal,1.6,0.986498,0.013502,0,USAO - Climax.mp3,normal,,,,ELECTRONIC,,,,test/USAO - Climax.mp3,0,,0,0,,,0,,2023-12-19T21:10:43,6592abe93713042ee2067c20,4.605563e-20,1.0,4.185556e-17,5.8947288e-24,6.5100635e-28
49,57,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\57.wav,2020-07-17,dislike,1.6,0.986498,0.013502,0,Youngior - 私语.mp3,normal,,,,HIP_POP,,,,test/Youngior - 私语.mp3,0,,0,0,,,0,,2023-12-19T21:13:21,6592abe93713042ee2067c23,1.2584569e-14,0.00050655846,0.9994935,9.802388e-11,1.0445901e-17
57,8,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\8.wav,2023-09-26,dislike,17.6,0.989955,0.0100447,0,谭咏麟 - 讲不出再见.mp3,normal,,,,POP,,,,test/讲不出再见.mp3,0,,0,0,,,0,,2023-12-19T20:40:21,6592abed3713042ee2067c6c,0.001821327,0.7280294,0.10833814,0.16108161,0.000729503
58,117,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\117.wav,2023-05-24,normal,52.4,0.985851,0.0141491,0,Pafe - Hello New World（翻自 初音ミク）.mp3,normal,,,,ELECTRONIC,,,,Pafe - Hello New World（翻自 初音ミク）.mp3,0,,0,0,,,0,,2023-12-19T21:40:07,6592abe53713042ee2067bea,0.11800383,0.79228646,0.027926395,0.057797242,0.0039860513
64,110,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\110.wav,2019-01-12,normal,64.4,0.9772,0.0228003,0,Johann Strauss II - 蓝色多瑙河圆舞曲.mp3,normal,,,,CLASSICAL,,,,test/Johann Strauss II - 蓝色多瑙河圆舞曲.mp3,0,,0,0,,,0,,2023-12-19T21:37:50,6592abe73713042ee2067c0a,2.9424667e-05,5.5340354e-07,0.99121207,2.3327061e-06,0.008755686
64,30,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\30.wav,2020-04-12,dislike,64.4,0.9772,0.0228003,0,"HoneyWorks,Hanon,Kotoha - 僕らのRTA.mp3",normal,,,,WORLD_MUSIC,,,,"test/HoneyWorks,Hanon,Kotoha - 僕らのRTA.mp3",0,,0,0,,,0,,2023-12-19T20:58:00,6592abe73713042ee2067c05,6.0845304e-12,1.0,4.3383506e-09,6.8415e-13,3.1302364e-13
69,91,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\91.wav,2019-12-04,dislike,11.7,0.990098,0.00990236,0,徐良 - 北京巷弄.mp3,normal,,,,POP,,,,test/徐良 - 北京巷弄.mp3,0,,0,0,,,0,,2023-12-19T21:29:45,6592abec3713042ee2067c5c,2.4893698e-12,0.9998882,0.000110873705,9.085185e-07,9.053959e-11
71,135,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\135.wav,2017-09-12,normal,69.2,0.988283,0.0117167,0,群星 - 舞蹈：碇步桥.mp3,normal,,,,INSTRUMENTAL,,,,test/群星 - 舞蹈：碇步桥.mp3,0,,0,0,,,0,,2023-12-19T21:45:51,6592abed3713042ee2067c67,0.11558152,0.0025870092,0.83357793,7.204225e-05,0.0481815
74,122,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\122.wav,2021-01-14,dislike,92.5,0.986508,0.013492,0,コアラモード. - 七色シンフォニー.mp3,normal,,,,POP,,,,test/コアラモード. - 七色シンフォニー.mp3,0,,0,0,,,0,,2023-12-19T21:42:07,6592abea3713042ee2067c31,2.799024e-13,0.99999964,3.4456087e-07,1.9689643e-10,6.2274133e-13
76,83,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\83.wav,2022-04-18,normal,24.5,0.982675,0.0173253,0,"塞壬唱片-MSR,PMP - 夕照.mp3",normal,,,,INSTRUMENTAL,,,,"test/塞壬唱片-MSR,PMP - 夕照.mp3",0,,0,0,,,0,,2023-12-19T21:23:36,6592abec3713042ee2067c4f,0.4998088,0.28977406,0.06317015,0.0879805,0.0592664
78,22,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\22.wav,2022-04-25,dislike,64.9,0.978902,0.0210978,0,G.E.M.邓紫棋 - 句号.mp3,normal,,,,RNB_SOUL,,,,test/G.E.M.邓紫棋 - 句号.mp3,0,,0,0,,,0,,2023-12-19T20:50:28,6592abe73713042ee2067bfe,0.352203,0.6428215,0.00092456536,0.0039046935,0.00014623246
79,139,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\139.wav,2016-12-19,dislike,68.0,0.986747,0.0132525,0,"徐良,吴昕 - 星座恋人.mp3",normal,,,,POP,,,,"test/徐良,吴昕 - 星座恋人.mp3",0,,0,0,,,0,,2023-12-19T21:46:54,6592abed3713042ee2067c5f,0.06924136,0.00018625545,0.027402971,0.90163594,0.0015334236
81,114,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\114.wav,2018-12-12,dislike,77.9,0.976155,0.0238455,0,"M2U,Pica - 神話.mp3",normal,,,,ELECTRONIC,,,,"M2U,Pica - 神話.mp3",0,,0,0,,,0,,2023-12-19T21:39:23,6592a9fb3713042ee2067be8,0.059314214,0.17505522,0.007867529,0.75266266,0.00510042
84,126,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\126.wav,2017-07-04,normal,53.7,0.983769,0.0162312,0,"ユリイ・カノン,GUMI - だれかの心臓になれたなら.mp3",normal,,,,POP,,,,"test/ユリイ・カノン,GUMI - だれかの心臓になれたなら.mp3",0,,0,0,,,0,,2023-12-19T21:43:14,6592abea3713042ee2067c38,0.8087671,0.03028219,0.00091603457,0.024182528,0.13585219
86,70,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\70.wav,2022-03-17,dislike,31.8,0.985227,0.0147726,0,"当真伊都子,小瀬村晶 - Will.mp3",normal,,,,INSTRUMENTAL,,,,"test/当真伊都子,小瀬村晶 - Will.mp3",0,,0,0,,,0,,2023-12-19T21:18:35,6592abec3713042ee2067c59,1.06104725e-08,0.0054030856,0.0006258082,2.8944097e-08,0.9939711
87,141,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\141.wav,2019-03-29,normal,62.5,0.985757,0.0142427,0,"巡音ルカ,emon (Tes.) - どりーみんチュチュ.mp3",normal,,,,WORLD_MUSIC,,,,"test/巡音ルカ,emon (Tes.) - どりーみんチュチュ.mp3",0,,0,0,,,0,,2023-12-19T21:47:30,6592abec3713042ee2067c56,0.0076047266,0.9913975,0.00072582695,0.00023048438,4.1449555e-05
93,50,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\50.wav,2022-02-22,normal,24.8,0.985908,0.0140922,0,Taylor Swift - Shake It Off.mp3,normal,,,,POP,,,,test/Taylor Swift - Shake It Off.mp3,0,,0,0,,,0,,2023-12-19T21:09:12,6592abe93713042ee2067c1d,0.01919815,0.9804951,0.0001382481,0.00014323839,2.536403e-05
94,46,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\46.wav,2019-06-28,dislike,65.8,0.985468,0.0145321,0,Rakele - Nessuno è libero.mp3,normal,,,,WORLD_MUSIC,,,,test/Rakele - Nessuno è libero.mp3,0,,0,0,,,0,,2023-12-19T21:07:29,6592abe83713042ee2067c18,0.0072193146,0.2762466,0.01737519,0.39859,0.30056888
96,29,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\29.wav,2019-05-12,normal,75.1,0.982855,0.0171445,0,Hélène Rolles - Je m'appelle Hélène.mp3,normal,,,,WORLD_MUSIC,,,,test/Hélène Rolles - Je m'appelle Hélène.mp3,0,,0,0,,,0,,2023-12-19T20:56:27,6592abe73713042ee2067c07,1.5441236e-06,0.9977374,0.0021563594,9.526761e-05,9.443572e-06
96,62,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\62.wav,2019-06-01,dislike,75.1,0.982855,0.0171445,0,ツユ - 泥の分際で私だけの大切を奪おうだなんて.mp3,normal,,,,POP,,,,test/ツユ - 泥の分際で私だけの大切を奪おうだなんて.mp3,0,,0,0,,,0,,2023-12-19T21:15:21,6592abea3713042ee2067c35,0.44201726,0.55356723,0.0002558075,0.004021041,0.0001386607
101,103,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\103.wav,2016-05-11,normal,98.4,0.98523,0.0147703,0,周传雄 - 关不上的窗.mp3,normal,,,,POP,,,,test/周传雄 - 关不上的窗.mp3,0,,0,0,,,0,,2023-12-19T21:33:42,6592abeb3713042ee2067c48,0.030103346,0.01968255,0.0012328454,0.04815424,0.900827
104,99,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\99.wav,2017-12-19,normal,73.0,0.97572,0.0242801,0,"御鹿神谷,江苹果 - 孤星祭.mp3",normal,,,,POP,,,,"test/御鹿神谷,江苹果 - 孤星祭.mp3",0,,0,0,,,0,,2023-12-19T21:32:29,6592abed3713042ee2067c62,0.049175344,0.014335049,0.6957197,0.0023536263,0.23841627
